Invoice_date,Prod_cat,Price,units_sold,Sales,Day,D/W,Oper_prof,sales_marg,Retailer,Region,State,City,Method,Invoice_ID,Retailer_ID
2020-01-01,Men's Street Footwear,47,336,15792,Wed,D,9633,61,Foot Locker,Northeast,New York,New York,Online,46017897,8948
2020-01-02,Men's Athletic Footwear,47,260,12220,Thu,D,5132,42,Foot Locker,Northeast,New York,New York,Online,95616604,8948
2020-01-03,Women's Street Footwear,36,250,9000,Fri,D,4140,46,Foot Locker,Northeast,New York,New York,Online,31186007,8948
2020-01-04,Women's Athletic Footwear,41,247,10127,Sat,W,4658,46,Foot Locker,Northeast,New York,New York,Online,68794182,8948
2020-01-05,Men's Apparel,55,234,12870,Sun,W,5148,40,Foot Locker,Northeast,New York,New York,Online,42822840,8948
2020-01-06,Women's Apparel,46,260,11960,Mon,D,4425,37,Foot Locker,Northeast,New York,New York,Online,82239370,8948
2020-01-07,Men's Street Footwear,46,313,14398,Tue,D,8927,62,Foot Locker,Northeast,New York,New York,Online,32610360,8948
2020-01-08,Men's Athletic Footwear,46,261,12006,Wed,D,5283,44,Foot Locker,Northeast,New York,New York,Online,66953661,8948
2020-01-21,Women's Street Footwear,36,276,9936,Tue,D,4670,47,Foot Locker,Northeast,New York,New York,Online,23951202,8948
2020-01-22,Women's Athletic Footwear,44,206,9064,Wed,D,4441,49,Foot Locker,Northeast,New York,New York,Online,40097417,8948
2020-01-23,Men's Apparel,58,243,14094,Thu,D,6060,43,Foot Locker,Northeast,New York,New York,Online,87858419,8948
2020-01-24,Women's Apparel,48,290,13920,Fri,D,5290,38,Foot Locker,Northeast,New York,New York,Online,13351538,8948
2020-01-25,Men's Street Footwear,46,354,16284,Sat,W,10259,63,Foot Locker,Northeast,New York,New York,Online,89007914,8948
2020-01-26,Men's Athletic Footwear,48,259,12432,Sun,W,5346,43,Foot Locker,Northeast,New York,New York,Online,52361107,8948
2020-01-27,Women's Street Footwear,39,247,9633,Mon,D,4720,49,Foot Locker,Northeast,New York,New York,Online,48190569,8948
2020-01-28,Women's Athletic Footwear,43,216,9288,Tue,D,4644,50,Foot Locker,Northeast,New York,New York,Online,95254679,8948
2020-01-29,Men's Apparel,59,230,13570,Wed,D,5699,42,Foot Locker,Northeast,New York,New York,Online,23559733,8948
2020-01-30,Women's Apparel,45,238,10710,Thu,D,3749,35,Foot Locker,Northeast,New York,New York,Online,64068505,8948
2020-01-31,Men's Street Footwear,45,300,13500,Fri,D,8370,62,Foot Locker,Northeast,New York,New York,Online,92230868,8948
2020-02-01,Men's Athletic Footwear,47,234,10998,Sat,W,4509,41,Foot Locker,Northeast,New York,New York,Online,25990418,8948
2020-02-02,Women's Street Footwear,39,252,9828,Sun,W,4914,50,Foot Locker,Northeast,New York,New York,Online,28210450,8948
2020-02-03,Women's Athletic Footwear,41,239,9799,Mon,D,4802,49,Foot Locker,Northeast,New York,New York,Online,28908175,8948
2020-02-04,Men's Apparel,56,215,12040,Tue,D,5057,42,Foot Locker,Northeast,New York,New York,Online,64848272,8948
2020-02-05,Women's Apparel,49,238,11662,Wed,D,4315,37,Foot Locker,Northeast,New York,New York,Online,21695678,8948
2020-02-06,Men's Street Footwear,54,317,17118,Thu,D,10956,64,Foot Locker,Northeast,New York,New York,Online,32714067,8948
2020-02-07,Men's Athletic Footwear,50,259,12950,Fri,D,5180,40,Foot Locker,Northeast,New York,New York,Online,91487208,8948
2020-02-08,Women's Street Footwear,46,261,12006,Sat,W,5643,47,Foot Locker,Northeast,New York,New York,Online,52016948,8948
2020-02-09,Women's Athletic Footwear,46,230,10580,Sun,W,5078,48,Foot Locker,Northeast,New York,New York,Online,33521613,8948
2020-02-10,Men's Apparel,59,245,14455,Mon,D,6505,45,Foot Locker,Northeast,New York,New York,Online,44448532,8948
2020-03-03,Women's Apparel,59,290,17110,Tue,D,6160,36,Foot Locker,Northeast,New York,New York,Online,73338821,8948
2020-03-04,Men's Street Footwear,55,313,17215,Wed,D,10501,61,Foot Locker,Northeast,New York,New York,Online,43554502,8948
2020-03-05,Men's Athletic Footwear,54,270,14580,Thu,D,5978,41,Foot Locker,Northeast,New York,New York,Online,59087449,8948
2020-03-06,Women's Street Footwear,46,278,12788,Fri,D,6138,48,Foot Locker,Northeast,New York,New York,Online,54849828,8948
2020-03-07,Women's Athletic Footwear,47,261,12267,Sat,W,5520,45,Foot Locker,Northeast,New York,New York,Online,93863951,8948
2020-03-08,Men's Apparel,55,252,13860,Sun,W,6237,45,Foot Locker,Northeast,New York,New York,Online,14786507,8948
2020-03-09,Women's Apparel,64,305,19520,Mon,D,7613,39,Foot Locker,Northeast,New York,New York,Online,15154197,8948
2020-03-10,Men's Street Footwear,59,319,18821,Tue,D,11293,60,Foot Locker,Northeast,New York,New York,Online,26632299,8948
2020-03-11,Men's Athletic Footwear,53,267,14151,Wed,D,5943,42,Foot Locker,Northeast,New York,New York,Online,52022293,8948
2020-03-12,Women's Street Footwear,46,247,11362,Thu,D,5113,45,Foot Locker,Northeast,New York,New York,Online,53413745,8948
2020-03-13,Women's Athletic Footwear,46,243,11178,Fri,D,5142,46,Foot Locker,Northeast,New York,New York,Online,38591994,8948
2020-03-14,Men's Apparel,58,231,13398,Sat,W,5761,43,Foot Locker,Northeast,New York,New York,Online,15295883,8948
2020-03-15,Women's Apparel,61,286,17446,Sun,W,6978,40,Foot Locker,Northeast,New York,New York,Online,93016564,8948
2020-03-16,Men's Street Footwear,58,325,18850,Mon,D,11499,61,Foot Locker,Northeast,New York,New York,Online,18454295,8948
2020-03-17,Men's Athletic Footwear,53,308,16324,Tue,D,6693,41,Foot Locker,Northeast,New York,New York,Online,46471902,8948
2020-03-18,Women's Street Footwear,45,257,11565,Wed,D,5320,46,Foot Locker,Northeast,New York,New York,Online,17750121,8948
2020-03-31,Women's Athletic Footwear,47,241,11327,Tue,D,5324,47,Foot Locker,Northeast,New York,New York,Online,49427950,8948
2020-04-17,Men's Apparel,54,270,14580,Fri,D,6561,45,Walmart,Northeast,New York,New York,Online,90457510,4443
2020-04-18,Women's Apparel,62,290,17980,Sat,W,6653,37,Walmart,Northeast,New York,New York,Online,47736413,4443
2020-04-19,Men's Street Footwear,56,360,20160,Sun,W,12499,62,Walmart,Northeast,New York,New York,Online,24228727,4443
2020-04-20,Men's Athletic Footwear,50,270,13500,Mon,D,5940,44,Walmart,Northeast,New York,New York,Online,97617849,4443
2020-04-21,Women's Street Footwear,47,268,12596,Tue,D,5920,47,Walmart,Northeast,New York,New York,Online,23288194,4443
2020-04-22,Women's Athletic Footwear,47,252,11844,Wed,D,5448,46,Walmart,Northeast,New York,New York,Online,28387254,4443
2020-04-23,Men's Apparel,58,252,14616,Thu,D,5846,40,Walmart,Northeast,New York,New York,Online,33740529,4443
2020-04-24,Women's Apparel,59,280,16520,Fri,D,6608,40,Walmart,Northeast,New York,New York,Online,98229170,4443
2020-04-25,Men's Apparel,64,236,15104,Sat,W,6344,42,Walmart,Northeast,New York,New York,Online,72473863,4443
2020-04-26,Women's Apparel,68,290,19720,Sun,W,7494,38,Walmart,Northeast,New York,New York,Online,88076757,4443
2020-04-27,Men's Street Footwear,60,299,17940,Mon,D,10764,60,Walmart,Northeast,New York,New York,Online,83337635,4443
2020-04-28,Men's Athletic Footwear,53,273,14469,Tue,D,6222,43,Walmart,Northeast,New York,New York,Online,65550599,4443
2020-04-29,Women's Street Footwear,52,258,13416,Wed,D,6440,48,Walmart,Northeast,New York,New York,Online,78513304,4443
2020-04-30,Women's Athletic Footwear,50,252,12600,Thu,D,6174,49,Walmart,Northeast,New York,New York,Online,27284129,4443
2020-05-01,Men's Apparel,64,254,16256,Fri,D,6828,42,Walmart,Northeast,New York,New York,Online,57261527,4443
2020-05-02,Women's Apparel,66,263,17358,Sat,W,6422,37,Walmart,Northeast,New York,New York,Online,42143702,4443
2020-05-03,Men's Street Footwear,62,312,19344,Sun,W,12380,64,Walmart,Northeast,New York,New York,Online,50468460,4443
2020-05-04,Men's Athletic Footwear,51,300,15300,Mon,D,6426,42,Walmart,Northeast,New York,New York,Online,96715200,4443
2020-05-05,Women's Street Footwear,54,285,15390,Tue,D,7233,47,Walmart,Northeast,New York,New York,Online,80194960,4443
2020-05-06,Women's Athletic Footwear,54,225,12150,Wed,D,5589,46,Walmart,Northeast,New York,New York,Online,36428260,4443
2020-05-07,Men's Apparel,60,261,15660,Thu,D,6734,43,Walmart,Northeast,New York,New York,Online,34644638,4443
